threshold	tpr	fpr	tp	fp	fn	tn
8.544108654498652	0.24	0.1549	6	3098	19	16902
8.719809557373685	0.24	0.1499	6	2998	19	17002
8.90631591335853	0.2	0.14495	5	2899	20	17101
9.08952161238652	0.2	0.13995	5	2799	20	17201
9.309990547458579	0.2	0.13495	5	2699	20	17301
9.520280994367903	0.2	0.12995	5	2599	20	17401
9.733889799648011	0.2	0.12495	5	2499	20	17501
9.978256555235363	0.2	0.1199	5	2398	20	17602
10.258227632972712	0.2	0.1149	5	2298	20	17702
10.538679224478068	0.12	0.11	3	2200	22	17800
10.874190432561358	0.12	0.105	3	2100	22	17900
11.16610345907133	0.12	0.1	3	2000	22	18000
11.466820483061186	0.12	0.095	3	1900	22	18100
11.754264365278802	0.12	0.09	3	1800	22	18200
12.067020126042255	0.12	0.085	3	1700	22	18300
12.396720482180777	0.08	0.08	2	1600	23	18400
12.728864228015626	0.08	0.075	2	1500	23	18500
13.128860761613595	0.08	0.07	2	1400	23	18600
13.547249340347385	0.08	0.065	2	1300	23	18700
14.034678602339278	0.08	0.06	2	1200	23	18800
14.414526292123046	0.08	0.055	2	1100	23	18900
14.846625660378947	0.08	0.05	2	1000	23	19000
15.337105570695657	0.08	0.045	2	900	23	19100
15.765300472545812	0.08	0.03995	2	799	23	19201
16.19751606118587	0.08	0.03495	2	699	23	19301
16.686563255648405	0.08	0.02995	2	599	23	19401
17.150952714978693	0.04	0.025	1	500	24	19500
17.554638396638637	0.04	0.02	1	400	24	19600
18.00078466527315	0.0	0.01505	0	301	25	19699
18.32739533534282	0.0	0.01005	0	201	25	19799
19.043965584817208	0.0	0.00505	0	101	25	19899
20.76790807996255	0.0	5e-05	0	1	25	19999
